Loan_Status,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Dependents,Self_Employed,Credit_History,Amauntxterm,Property_Area,Income
1,0,120,360,2,1,1,2,48.74166667,1,5849
0,1508,128,360,2,2,1,2,47.5859375,1,4583
1,0,66,360,2,1,2,2,45.45454545,1,3000
1,2358,120,360,2,1,1,2,41.175,1,2583
1,0,141,360,2,1,1,2,42.55319149,1,6000
1,4196,267,360,2,3,2,2,36.00374532,1,5417
1,1516,95,360,2,1,1,2,40.51578947,1,2333
0,2504,158,360,2,4,1,1,35.06329114,2,3036
1,1526,168,360,2,3,1,2,32.92857143,1,4006
0,10968,349,360,2,2,1,2,68.22063037,2,12841
1,700,70,360,2,3,1,2,55.71428571,1,3200
1,1840,109,360,2,3,1,2,39.81651376,1,2500
1,8106,200,360,2,3,1,2,55.895,1,3073
0,2840,114,360,2,1,1,2,41.16666667,1,1853
1,1086,17,120,2,3,1,2,140.2941176,1,1299
1,0,125,360,2,1,1,2,39.6,1,4950
1,0,100,240,2,2,1,2,35.96,1,3596
0,0,76,360,1,1,1,1,46.18421053,1,3510
0,0,133,360,2,1,1,2,36.7443609,1,4887
1,3500,115,360,2,1,1,2,53.04347826,1,2600
0,0,104,360,2,1,1,1,73.65384615,1,7660
1,5625,315,360,2,2,1,2,36.76190476,1,5955
0,1911,116,360,2,1,1,1,38.88793103,2,2600
0,1917,112,360,2,3,1,1,47.16071429,1,3365
0,2925,151,360,2,2,1,2,43.98675497,2,3717
1,0,191,360,2,1,2,2,50.05235602,2,9560
1,2253,122,360,2,1,1,2,41.40983607,2,2799
1,1040,110,360,2,3,1,2,47.87272727,1,4226
0,0,35,360,2,1,1,2,41.2,1,1442
1,2083,120,360,1,3,1,2,48.60833333,2,3750
0,3369,201,360,2,2,1,2,37.48756219,1,4166
0,0,74,360,2,1,1,2,42.7972973,1,3167
0,0,106,360,2,2,2,2,44.26415094,1,4692
1,1667,114,360,2,1,1,2,45.3245614,2,3500
0,3000,320,360,2,4,1,2,48.4375,1,12500
1,2067,120,360,2,1,1,2,36.18333333,1,2275
0,1330,100,360,2,1,1,1,31.58,1,1828
1,1459,144,360,1,1,1,2,35.59722222,2,3667
1,7210,184,360,2,1,1,2,61.82608696,1,4166
1,1668,110,360,2,1,1,2,49.23636364,2,3748
0,0,80,360,2,1,1,2,45,1,3600
1,1213,47,360,2,1,1,2,64.10638298,1,1800
1,0,75,360,2,1,1,2,32,1,2400
1,2336,134,360,2,1,1,2,46.84328358,2,3941
1,0,96,360,2,1,2,2,48.90625,1,4695
1,0,88,360,1,1,1,2,38.75,1,3410
1,0,44,360,2,2,1,2,128.3863636,1,5649
1,0,144,360,2,1,1,2,40.42361111,1,5821
0,3440,120,360,1,1,1,1,50.70833333,1,2645
1,2275,144,360,1,1,1,2,43.57638889,2,4000
1,1644,100,360,1,1,1,2,35.72,2,1928
1,0,120,360,1,1,1,2,25.71666667,2,3086
0,0,112,360,1,1,1,2,37.76785714,2,4230
0,0,134,360,2,3,1,2,34.44776119,1,4616
0,0,286,360,1,2,2,1,40.20979021,1,11500
1,1167,97,360,2,3,1,2,39.94845361,2,2708
1,1591,96,360,2,1,1,2,38.78125,2,2132
0,2200,135,360,2,1,1,2,41.22962963,1,3366
1,2250,180,360,2,2,1,2,57.38888889,1,8080
1,2859,144,360,2,3,1,2,43.16666667,1,3357
1,3796,120,360,2,1,1,2,52.46666667,1,2500
1,0,99,360,2,4,1,2,30.5959596,1,3029
0,3449,165,180,2,1,2,1,36.71515152,1,2609
0,0,120,360,2,2,1,1,41.20833333,1,4945
0,0,116,360,1,1,1,1,35.9137931,2,4166
0,4595,258,360,2,1,1,2,40.00387597,2,5726
0,2254,126,180,2,1,1,1,43.28571429,1,3200
1,0,312,360,2,2,1,2,34.45512821,1,10750
1,0,125,60,2,4,2,2,56.8,1,7100
0,0,136,360,1,1,1,1,31.61764706,2,4300
1,3066,172,360,2,1,1,2,36.47674419,1,3208
1,1875,97,360,2,3,2,2,38.65979381,2,1875
1,0,81,300,2,1,1,2,43.20987654,2,3500
0,0,95,360,2,4,1,1,50.05263158,2,4755
1,1774,187,360,2,4,2,2,37.64705882,2,5266
0,0,113,480,2,1,1,2,33.18584071,1,3750
0,4750,176,360,2,1,1,2,48.29545455,1,3750
0,3022,110,360,2,2,2,2,36.56363636,1,1000
0,4000,180,300,2,4,1,1,39.81666667,2,3167
1,2166,130,360,2,4,2,2,42.3,2,3333
1,0,111,360,1,1,1,2,34.64864865,2,3846
1,0,120,360,2,2,2,2,19.95833333,2,2395
0,1881,167,360,1,3,1,2,19.51497006,1,1378
0,2250,265,360,2,1,1,2,31.13207547,2,6000
1,0,50,240,2,2,1,2,79.76,1,3988
1,2531,136,360,2,1,1,2,36.00735294,2,2366
1,2000,99,360,2,3,1,2,53.86868687,2,3333
1,2118,104,360,2,1,1,2,44.40384615,2,2500
1,0,210,360,2,1,1,2,40.79047619,1,8566
1,4167,175,360,2,1,1,2,56.35428571,2,5695
1,2900,131,360,2,1,1,2,44.71755725,2,2958
1,5654,188,180,2,3,1,2,63.31914894,2,6250
1,1820,81,360,2,3,1,2,62.87654321,1,3273
1,0,122,360,2,1,1,2,33.87704918,2,4133
1,0,25,120,2,1,1,2,144.8,2,3620
0,0,120,360,2,1,1,2,56.51666667,1,6782
1,2302,137,360,1,1,1,2,34.93430657,2,2484
1,997,50,360,2,1,1,2,59.48,2,1977
1,0,115,180,2,1,1,2,36.4173913,2,4188
1,3541,131,360,2,1,1,2,40.45801527,2,1759
1,3263,133,180,2,3,1,2,56.77443609,1,4288
1,3806,151,360,2,1,1,2,57.2781457,2,4843
1,0,120,360,2,1,1,2,113.75,1,13650
1,3583,120,360,2,1,1,2,68.625,2,4652
