"i","j","cor","filtro"
"ID","EDAD",0.00819184999315504,0
"ID","SEXO",0.0355788579970523,0
"EDAD","SEXO",0.0435047264472977,0
"ID","CIVIL",-0.0219444621999543,0
"EDAD","CIVIL",0.0366879278856887,0
"SEXO","CIVIL",0.0263594293918706,0
"ID","HIJOS",-0.0046500692703528,0
"EDAD","HIJOS",-0.0323361887522351,0
"SEXO","HIJOS",-0.019122573059126,0
"CIVIL","HIJOS",-0.0359269918594985,0
"ID","INGRESO",0.0150913344929489,0
"EDAD","INGRESO",0.0559185409786055,0
"SEXO","INGRESO",-0.024656414274281,0
"CIVIL","INGRESO",-0.00296053122476903,0
"HIJOS","INGRESO",-0.0330441905574308,0
"ID","AUTO",-0.023504936752104,0
"EDAD","AUTO",0.0237172724557931,0
"SEXO","AUTO",-0.010105954741372,0
"CIVIL","AUTO",-0.0104089561777645,0
"HIJOS","AUTO",0.037977500644268,0
"INGRESO","AUTO",-0.0147674387916887,0
"ID","CHURN",-0.0145706885622807,0
"EDAD","CHURN",0.0584417741232687,0
"SEXO","CHURN",-0.509127187529397,0
"CIVIL","CHURN",-0.0027122034958671,0
"HIJOS","CHURN",-0.0217542593269503,0
"INGRESO","CHURN",-0.0628285940863913,0
"AUTO","CHURN",-0.0108093813382807,0
