"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"1",8,10,10,8,10,9,9,7,9,8,3
"2",7.78,7.78,10,6.67,8.89,7.78,7.78,8.89,8.89,10,3
"3",5,5,5,4,6,5,5,4,5,6,1
"4",10,7.78,10,10,10,10,10,8.89,10,10,3
"5",10,9,9,9,7,8,8,9,7,8,3
"6",6.67,10,4.44,3.33,8.89,8.89,5.56,5.56,6.67,7.78,1
"7",5,4,5,5,6,4,4,4,5,5,1
"8",5,6,4,5,5,4,4,4,5,5,1
"9",6.67,8.89,4.44,1.11,5.56,6.67,3.33,4.44,1.11,0,1
"10",7.78,10,7.78,4.44,10,10,10,10,10,10,3
"11",7.78,7.78,6.67,6.67,8.89,6.67,7.78,7.78,7.78,7.78,3
"12",7.78,10,10,7.78,10,10,10,10,10,10,3
"13",4.44,6.67,4.44,4.44,6.67,5.56,7.78,6.67,6.67,7.78,1
"14",6.67,8.89,10,8.89,7.78,4.44,6.67,5.56,6.67,6.67,3
"15",10,10,10,10,10,10,10,10,10,10,3
"16",6.67,10,7.78,7.78,10,10,8.89,10,10,10,3
"17",2,1,0,2,0,2,2,2,0,1,2
"18",0,10,0,0,10,10,0,10,0,10,1
"19",1,2,3,1,3,2,0,1,2,1,2
"20",7.78,10,10,4.44,10,8.89,7.78,10,0,7.78,3
"21",8,8,8,10,8,8,9,7,7,10,3
"22",4,6,6,6,6,5,5,4,4,5,1
"23",2.22,3.33,7.78,3.33,6.67,1.11,4.44,4.44,4.44,0,1
"24",4.44,10,6.67,0,3.33,5.56,7.78,8.89,0,5.56,1
"25",4,4,4,5,5,5,6,6,4,4,1
"26",2.22,4.44,4.44,2.22,8.89,10,8.89,10,6.67,10,1
"27",8.89,10,7.78,5.56,10,10,7.78,8.89,8.89,7.78,3
"28",10,10,10,10,10,10,10,10,10,10,3
"29",10,10,10,10,10,10,10,10,10,10,3
"30",10,10,10,8.89,10,10,10,10,10,10,3
"31",6,5,6,6,6,4,5,4,4,6,1
"32",8.89,10,10,1.11,10,8.89,10,10,4.44,10,3
"33",10,7,7,10,7,7,7,7,7,9,3
"34",3.33,5.56,5.56,4.44,7.78,4.44,6.67,8.89,7.78,2.22,1
"35",0,0,0,2,2,3,1,0,2,1,2
"36",9,7,10,7,8,7,8,10,10,8,3
"37",10,10,6.67,6.67,7.78,5.56,5.56,5.56,6.67,5.56,1
"38",2.22,2.22,4.44,3.33,7.78,4.44,1.11,3.33,4.44,1.11,2
"39",4.44,7.78,7.78,4.44,5.56,4.44,5.56,5.56,5.56,4.44,1
"40",4,6,5,5,5,5,6,5,4,4,1
