"","name","type","na","mean","disp","median","mad","min","max","nlevs"
"1","TP08A","numeric",0,6.19407411177848,3.15198961955854,6.67,3.306198,0,10,0
"2","TP08B","numeric",0,7.00618650106892,3.07372508259225,7.78,3.291372,0,10,0
"3","TP08C","numeric",0,6.82037666700601,3.02018549162485,7.78,3.291372,0,10,0
"4","TP08D","numeric",0,5.85716583528454,3.11703743446126,6,3.958542,0,10,0
"5","TP08E","numeric",0,7.59030235162374,2.98517699548305,8.89,1.645686,0,10,0
"6","TP08F","numeric",0,7.0565652041128,3.049085767657,7.78,3.291372,0,10,0
"7","TP08G","numeric",0,6.92892089992874,3.12173234349596,7.78,3.291372,0,10,0
"8","TP08H","numeric",0,7.14301639010486,3.05986687798202,7.78,3.291372,0,10,0
"9","TP08J","numeric",0,6.77324340832739,2.99037462291274,7.78,3.291372,0,10,0
"10","TP08M","numeric",0,6.66961722488038,3.41723902255014,7.78,3.291372,0,10,0
